IdDistrito,Distrito,IdCargo,Cargo,idAgrupacion,Agrupacion,idLista,lista
8.0,Entre Ríos,3.0,DIPUTADOS NACIONALES,502.0,JUNTOS POR ENTRE RÍOS,1.0,ADONDE VAMOS
8.0,Entre Ríos,3.0,DIPUTADOS NACIONALES,,,,
8.0,Entre Ríos,3.0,DIPUTADOS NACIONALES,50.0,SOCIALISTA,2.0,PODEMOS ENTRE RÍOS
8.0,Entre Ríos,3.0,DIPUTADOS NACIONALES,50.0,SOCIALISTA,1.0,JUNTOS SOMOS MÁS
8.0,Entre Ríos,3.0,DIPUTADOS NACIONALES,68.0,NUEVA IZQUIERDA,1.0,(R)EVOLUCIONEMOS LA IZQUIERDA
8.0,Entre Ríos,3.0,DIPUTADOS NACIONALES,77.0,FE,1.0,ROJA - ADELANTE ENTRE RÍOS
6.0,Chaco,6.0,DIPUTADOS PROVINCIALES,201.0,FRENTE INTEGRADOR,1.0,INTEGRACIÓN
6.0,Chaco,6.0,DIPUTADOS PROVINCIALES,156.0,ACCION CHAQUEÑA,1.0,ACCION CHAQUEÑA
6.0,Chaco,6.0,DIPUTADOS PROVINCIALES,615.0,"MOVIMIENTO IZQUIERDA,JUSTICIA Y DIGNIDAD",1.0,AMARILLA Y NEGRA
6.0,Chaco,6.0,DIPUTADOS PROVINCIALES,503.0,CHACO CAMBIA + JUNTOS POR EL CAMBIO,3.0,YO CAMBIO
6.0,Chaco,6.0,DIPUTADOS PROVINCIALES,503.0,CHACO CAMBIA + JUNTOS POR EL CAMBIO,1.0,JUNTOS POR CHACO + EVOLUCION
6.0,Chaco,6.0,DIPUTADOS PROVINCIALES,503.0,CHACO CAMBIA + JUNTOS POR EL CAMBIO,2.0,PROPUESTA CHACO
6.0,Chaco,6.0,DIPUTADOS PROVINCIALES,504.0,VAMOS CON VOS,1.0,A
6.0,Chaco,6.0,DIPUTADOS PROVINCIALES,501.0,FRENTE DE TODOS,8.0,SOCIALISTAS UNIDOS
6.0,Chaco,6.0,DIPUTADOS PROVINCIALES,501.0,FRENTE DE TODOS,5.0,FRENTE POLITICO SOCIAL SINDICAL CRISTINA PROYECTO NACIONAL
6.0,Chaco,6.0,DIPUTADOS PROVINCIALES,501.0,FRENTE DE TODOS,1.0,17 DE OCTUBRE
6.0,Chaco,6.0,DIPUTADOS PROVINCIALES,501.0,FRENTE DE TODOS,4.0,FRENTE DE AGRUPACIONES PERONISTAS
